Date;open;high;low;close;volume;
03/03/2021;484158000000,00;525351000000,00;4827430000000,00;5053820000000,00;53220811974.56;
02/03/2021;4961210000000,00;5012750000000,00;4722880000000,00;4837900000000,00;47530897720.12;
01/03/2021;4515950000000,00;4978400000000,00;4511510000000,00;4963120000000,00;53891300112.16;
28/02/2021;4619400000000,00;4671640000000,00;4324160000000,00;4513780000000,00;53443887450.79;
27/02/2021;4634480000000,00;4825330000000,00;452690000000,00;4618850000000,00;45910946381.8;
26/02/2021;471805000000,00;4837080000000,00;4445480000000,00;4633980000000,00;350967941479.06;
25/02/2021;4970910000000,00;5194900000000,00;4709390000000,00;4709390000000,00;54506565949.11;
24/02/2021;4883510000000,00;5129010000000,00;4721350000000,00;4970530000000,00;63695521388.34;
23/02/2021;5420490000000,00;5420490000000,00;4529060000000,00;4882440000000,00;106102492824.11;
22/02/2021;5753270000000,00;5753340000000,00;4896760000000,00;5420730000000,00;92052420331.57;
21/02/2021;5606860000000,00;5833060000000,00;5567260000000,00;575399000000,00;51897585190.58;
20/02/2021;5588730000000,00;5750520000000,00;546266000000,00;5609950000000,00;68145460025.92;
19/02/2021;5167600000000,00;5611370000000,00;5093730000000,00;5588810000000,00;63495496917.85;
18/02/2021;5214100000000,00;5247410000000,00;5101580000000,00;5167980000000,00;52054723578.67;
17/02/2021;4920730000000,00;5253390000000,00;490724000000,00;5214900000000,00;80820545404.32;
16/02/2021;4794450000000,00;5034110000000,00;4720130000000,00;4919990000000,00;77049582885.51;
15/02/2021;4869650000000,00;4887560000000,00;4634750000000,00;4794510000000,00;77069903166.39;
14/02/2021;4711450000000,00;4948760000000,00;4711450000000,00;487173000000,00;71248675228.22;
13/02/2021;4749120000000,00;4804770000000,00;4639230000000,00;4710550000000,00;70250456155.05;
12/02/2021;4787700000000,00;4874570000000,00;4642500000000,00;4750490000000,00;76555041195.79;
11/02/2021;4489870000000,00;4846350000000,00;441878000000,00;4790930000000,00;81388911809.85;
10/02/2021;4646980000000,00;4714560000000,00;438812000000,00;4491820000000,00;87301089896.44;
09/02/2021;4618500000000,00;4800370000000,00;4516700000000,00;4648110000000,00;91809846885.69;
08/02/2021;3888680000000,00;4620390000000,00;3807630000000,00;4619650000000,00;101467222686.67;
07/02/2021;392502000000,00;396218000000,00;3744620000000,00;3890340000000,00;65500641143.12;
06/02/2021;3813840000000,00;4084650000000,00;3813840000000,00;3926600000000,00;71326033652.98;
05/02/2021;3693150000000,00;3822590000000,00;3665880000000,00;3814430000000,00;58598066402.24;
04/02/2021;3747510000000,00;3859220000000,00;3631750000000,00;3692610000000,00;68838074391.61;
03/02/2021;3551080000000,00;3748020000000,00;3544400000000,00;3747210000000,00;61166818158.83;
02/02/2021;3353320000000,00;3589690000000,00;3348920000000,00;3551030000000,00;63088585433.12;
01/02/2021;3311460000000,00;3463820000000,00;3238420000000,00;335372000000,00;61400400660.27;
31/01/2021;3427090000000,00;3428830000000,00;3227020000000,00;3311440000000,00;52754542671.38;
30/01/2021;342959000000,00;3483470000000,00;3294020000000,00;3426950000000,00;65141828798.26;
29/01/2021;343187000000,00;3840630000000,00;3206480000000,00;3431640000000,00;117894572510.68;
28/01/2021;304410000000,00;3385830000000,00;300232000000,00;3346610000000,00;76517157706.32;
27/01/2021;3256400000000,00;3256400000000,00;2936710000000,00;3043250000000,00;62576762015.47;
26/01/2021;323586000000,00;327945000000,00;3103030000000,00;3256980000000,00;60255421470.41;
25/01/2021;3228580000000,00;3480270000000,00;3208780000000,00;3236640000000,00;59897054837.94;
24/01/2021;3206440000000,00;3294400000000,00;3110670000000,00;3228940000000,00;48643830599.36;
23/01/2021;3298580000000,00;3336100000000,00;3149320000000,00;3206760000000,00;48354737975.29;
22/01/2021;3081760000000,00;3381190000000,00;28953372751,00;3300580000000,00;77207272511.13;
21/01/2021;3554940000000,00;3555270000000,00;3025070000000,00;3082570000000,00;75643067687.74;
20/01/2021;3605010000000,00;3637830000000,00;3357050000000,00;355478000000,00;66834573161.3;
19/01/2021;3664220000000,00;3775590000000,00;3606980000000,00;3606980000000,00;57244195485.5;
18/01/2021;3579220000000,00;3729930000000,00;3488380000000,00;3663010000000,00;49511702429.35;
17/01/2021;3616360000000,00;3672230000000,00;3406930000000,00;3579130000000,00;52359854336.21;
16/01/2021;3682160000000,00;3786440000000,00;3563360000000,00;3617810000000,00;57706187875.1;
15/01/2021;391567000000,00;3957770000000,00;3465960000000,00;3682540000000,00;67760757880.72;
14/01/2021;3732510000000,00;3996640000000,00;368686000000,00;3918730000000,00;63615990033.01;
13/01/2021;3391510000000,00;3760000000000,00;3258470000000,00;3731640000000,00;69364315979.28;
12/01/2021;3551640000000,00;3656850000000,00;3269800000000,00;339230000000,00;74773277909.46;
11/01/2021;3834650000000,00;3834650000000,00;3054960000000,00;3556670000000,00;123320567398.62;
10/01/2021;4025420000000,00;4142020000000,00;3598460000000,00;3835640000000,00;79980747690.35;
09/01/2021;4078860000000,00;4143640000000,00;3898090000000,00;4025450000000,00;61984162837.07;
08/01/2021;3938180000000,00;4194670000000,00;3683860000000,00;4079760000000,00;88107519479.5;
07/01/2021;3683390000000,00;401804000000,00;3649120000000,00;3937100000000,00;84762141031.49;
06/01/2021;34013614533,00;3687970000000,00;3351400000000,00;3682440000000,00;75289433810.59;
05/01/2021;3197700000000,00;344376000000,00;302212000000,00;3399240000000,00;67547324781.68;
04/01/2021;3281090000000,00;3344020000000,00;2872280000000,00;3197190000000,00;81163475344.18;
03/01/2021;321294000000,00;3460860000000,00;3205230000000,00;3278200000000,00;78665235201.84;
02/01/2021;2937650000000,00;3315510000000,00;2909120000000,00;3212730000000,00;67865420765.46;
01/01/2021;2899400000000,00;296006000000,00;2880360000000,00;2937420000000,00;40730301358.64;
31/12/2020;2884160000000,00;2924490000000,00;2820200000000,00;2900170000000,00;46754964848.19;
30/12/2020;2736010000000,00;2893770000000,00;2736010000000,00;2884100000000,00;51287442703.98;
29/12/2020;2708180000000,00;273707000000,00;2598730000000,00;273624000000,00;45265946774.4;
28/12/2020;2628080000000,00;2738910000000,00;2620760000000,00;2708480000000,00;49056742892.61;
27/12/2020;2643940000000,00;2828880000000,00;2592280000000,00;2627230000000,00;66479895605.09;
26/12/2020;2467700000000,00;2671810000000,00;2452270000000,00;264370000000,00;48332647295.43;
25/12/2020;2373360000000,00;2471010000000,00;2346370000000,00;2466480000000,00;42068395845.63;
24/12/2020;2324020000000,00;237683000000,00;2277760000000,00;2373590000000,00;41080759712.62;
23/12/2020;2378200000000,00;2402450000000,00;2280260000000,00;2324130000000,00;51146161904.32;
22/12/2020;2279400000000,00;2378990000000,00;2243060000000,00;2378300000000,00;44171632680.6;
21/12/2020;2347450000000,00;2406000000000,00;2215940000000,00;228031000000,00;45852713980.89;
20/12/2020;238618000000,00;2420970000000,00;2314770000000,00;2347730000000,00;37844228421.87;
19/12/2020;2313290000000,00;2408590000000,00;2282650000000,00;2386980000000,00;38487546579.56;
18/12/2020;2280680000000,00;2323860000000,00;2239980000000,00;2313800000000,00;40387896274.68;
17/12/2020;2130840000000,00;2364270000000,00;2123470000000,00;2280520000000,00;71378606373.62;
16/12/2020;1941880000000,00;2145890000000,00;1929830000000,00;2131060000000,00;44409011479.22;
15/12/2020;1924690000000,00;195250000000,00;1907980000000,00;1941710000000,00;26741982541.5;
14/12/2020;1914450000000,00;1930510000000,00;1901270000000,00;1924660000000,00;22473997681.14;
13/12/2020;1880680000000,00;1938150000000,00;1873430000000,00;191424000000,00;25450468636.54;
